value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
0.3717,0.0,0.34023333333333333,0.0,0.3717,0.30585,0.0,0.3717,0.2312,0.0,0.3717,0.16447083333333332,0.0,0.3717,0,1
0.3033,-0.06839999999999996,0.34023333333333333,0.0,0.3375,0.30585,0.0,0.3521571428571429,0.2312,0.0,0.36117692307692306,0.16447083333333332,0.0,0.366228,1,0
0.3457,0.04239999999999999,0.34023333333333333,0.03452612537388655,0.3416,0.30585,0.0,0.3503122448979592,0.2312,0.0,0.35879585798816566,0.16447083333333332,0.0,0.36458576000000004,1,0
0.3924,0.04670000000000002,0.34713333333333335,0.04456728994827187,0.367,0.30585,0.0,0.3623373177842566,0.2312,0.0,0.36396572598998633,0.16447083333333332,0.0,0.3668108992000001,1,0
0.2255,-0.16690000000000002,0.3212,0.08610511018516845,0.29625,0.30585,0.0,0.323240941274469,0.2312,0.0,0.3426633066069115,0.16447083333333332,0.0,0.3555060272640001,1,0
0.1965,-0.028999999999999998,0.2714666666666667,0.10573033308059389,0.246375,0.30585,0.07979372782368299,0.28702924376747785,0.2312,0.0,0.320176644052002,0.16447083333333332,0.0,0.3427855450828801,0,1
0.3101,0.11359999999999998,0.24403333333333332,0.05902417583781513,0.2782375,0.29558333333333336,0.07332749597979374,0.29362088840534134,0.2312,0.0,0.3186263911209248,0.16447083333333332,0.0,0.3401707014762497,0,2
0.2118,-0.0983,0.23946666666666663,0.06164676255354631,0.24501875,0.2803333333333333,0.08055970870519995,0.27024349171810097,0.2312,0.0,0.30219156171770556,0.16447083333333332,0.0,0.3299010453581498,0,3
0.0839,-0.12789999999999999,0.2019333333333333,0.1134223229057372,0.16445937500000002,0.23670000000000002,0.10520397330899627,0.21700249408435782,0.2312,0.0,0.2686082445303662,0.16447083333333332,0.0,0.3102209617294978,0,4
0.1649,0.08099999999999999,0.15353333333333333,0.06470319415093287,0.1646796875,0.1987833333333333,0.07433180790662006,0.2021160672031127,0.2312,0.0,0.25265312998723294,0.16447083333333332,0.0,0.298595284791138,0,5
0.0844,-0.08049999999999999,0.11106666666666666,0.0466217045305436,0.12453984375,0.17526666666666665,0.08564771255945287,0.16848290514508052,0.2312,0.0,0.2267680330661202,0.16447083333333332,0.0,0.28145966200784694,0,6
0.0842,-0.00020000000000000573,0.11116666666666668,0.04653453914388011,0.104369921875,0.15655,0.09210651985608832,0.14440207510362893,0.2312,0.1132674710585524,0.2048344895174863,0.16447083333333332,0.0,0.2656788890472192,0,7
0.1409,0.0567,0.10316666666666667,0.03267817824379611,0.1226349609375,0.12835,0.05350501845621579,0.14340148221687782,0.21196666666666664,0.10664277952230254,0.1949984142071038,0.16447083333333332,0.0,0.2556965779234417,0,8
0.05,-0.0909,0.0917,0.04591176319855267,0.08631748046875,0.10138333333333333,0.042721302258553126,0.11671534444062702,0.19085833333333335,0.11186200474719114,0.17269096586754937,0.16447083333333332,0.0,0.23924085168956638,1,0
0.05,0.0,0.0803,0.05248113946933674,0.068158740234375,0.09573333333333334,0.04747334690820373,0.09765381745759073,0.16621666666666668,0.10712048300296209,0.15381543265715716,0.16447083333333332,0.0,0.22410158355440107,0,1
0.0765,0.026499999999999996,0.05883333333333333,0.015299782133524219,0.0723293701171875,0.081,0.033322845016594674,0.0916098696125648,0.13989166666666666,0.0824603977492815,0.14192075070990223,0.16447083333333332,0.0,0.21229345687004902,0,2
0.05,-0.026499999999999996,0.05883333333333334,0.015299782133524219,0.06116468505859375,0.07526666666666666,0.035508515410625864,0.0797213354375463,0.12526666666666667,0.08145379430119028,0.12777909675453264,0.16447083333333332,0.0,0.1993099803204451,0,3
0.1466,0.0966,0.09103333333333334,0.049912957569486,0.10388234252929687,0.08566666666666667,0.04618214662254945,0.09882952531253306,0.12110833333333333,0.07871429878575649,0.13067462033075838,0.16447083333333332,0.0,0.1950931818948095,1,0
0.05,-0.0966,0.0822,0.055772036003717634,0.07694117126464844,0.07051666666666666,0.03875102149191237,0.08487823236609504,0.09943333333333333,0.05381468764250723,0.11826314027987248,0.16447083333333332,0.0,0.18348572734322477,1,0
0.05,0.0,0.08220000000000001,0.055772036003717634,0.06347058563232422,0.07051666666666667,0.03875102149191237,0.07491302311863932,0.08595000000000001,0.04209514115775031,0.10776111869835363,0.16447083333333332,0.0,0.1728068691557668,0,1
0.2387,0.18869999999999998,0.1129,0.10894599579608227,0.15108529281616212,0.10196666666666666,0.07673108018701846,0.12170930222759951,0.09885,0.060919805706130925,0.12790556197553,0.16447083333333332,0.0,0.17807831962330545,1,0
0.1034,-0.13529999999999998,0.1307,0.09726710646462132,0.12724264640808106,0.10645,0.07572475817062732,0.11647807301971394,0.093725,0.05733978667874211,0.12413547551775614,0.16447083333333332,0.0,0.172104054053441,0,1
0.1269,0.023500000000000007,0.15633333333333332,0.07229289960524002,0.12707132320404052,0.11926666666666667,0.07059347467483562,0.11945576644265282,0.09726666666666667,0.05801995477002,0.12456078697656289,0.16447083333333332,0.0,0.16848772972916573,0,2
0.0899,-0.03700000000000002,0.10673333333333333,0.018723870682455394,0.10848566160202025,0.10981666666666667,0.06999524031437178,0.11101126174475201,0.09774166666666667,0.05792651235257779,0.11922835821093783,0.16447083333333332,0.11129705054557792,0.16220071135083247,0,3
0.2579,0.16800000000000004,0.15823333333333334,0.08827419403955676,0.18319283080101012,0.14446666666666666,0.08443171599977499,0.15297947267482287,0.10749166666666667,0.0735821057586612,0.14056245694771663,0.15972916666666667,0.10428790616935604,0.1698566544427659,0,4
0.423,0.16509999999999997,0.2569333333333333,0.1665521039594917,0.303096415400505,0.20663333333333334,0.12736740032938831,0.2301281947677306,0.138575,0.11449641618051558,0.1840143866480679,0.16471666666666668,0.11387430013784523,0.19010812208734465,0,5
0.4495,0.026500000000000024,0.3768,0.1038194105165311,0.3762982077002525,0.24176666666666669,0.16227267997622605,0.2928058534055219,0.1718666666666667,0.14133536090598223,0.22485832716374976,0.16904166666666665,0.12267788120208095,0.21085947232035707,0,6
0.7134,0.2639,0.5286333333333334,0.1605602794383884,0.5448491038501263,0.3434333333333333,0.23363994236146077,0.41297560957537277,0.22494166666666668,0.20672612738215806,0.30001858452317287,0.18241666666666667,0.15993076128686784,0.2510627145347285,0,7
0.7903,0.07689999999999997,0.6510666666666667,0.1787463099852229,0.6675745519250631,0.454,0.2654774265356662,0.5207825782681235,0.28663333333333335,0.2546740745392515,0.3754464945965309,0.20595,0.20244858284426734,0.29420169737195023,0,8
0.9819,0.1916,0.8285333333333332,0.13827293058778148,0.8247372759625315,0.6026666666666666,0.2705144185929222,0.6525304130486596,0.3562416666666666,0.3189599987981774,0.4687470338893723,0.238675,0.25698686694578127,0.34921756158219425,0,9
1.1338,0.15189999999999992,0.9686666666666666,0.17213193583217923,0.9792686379812657,0.74865,0.28328855077464754,0.790036009320471,0.44655833333333333,0.37319481741099275,0.5710628748294688,0.2729958333333333,0.31532239606495593,0.4119841566556187,0,10
1.5143,0.38050000000000006,1.21,0.2742576708134164,1.246784318990633,0.9305333333333333,0.3695794186188764,0.9969685780860508,0.5685833333333333,0.46084415001826873,0.7161762787018583,0.32726666666666665,0.4039614840299878,0.5001694241231692,0,11
