timestamp,consumption_kwh
2012-02-01 00:00:00,0.767
2012-02-01 00:30:00,0.784
2012-02-01 01:00:00,0.77
2012-02-01 01:30:00,0.781
2012-02-01 02:00:00,0.755
2012-02-01 02:30:00,0.79
2012-02-01 03:00:00,0.768
2012-02-01 03:30:00,0.726
2012-02-01 04:00:00,0.768
2012-02-01 04:30:00,0.771
2012-02-01 05:00:00,0.767
2012-02-01 05:30:00,0.779
2012-02-01 06:00:00,0.767
2012-02-01 06:30:00,0.758
2012-02-01 07:00:00,0.751
2012-02-01 07:30:00,0.891
2012-02-01 08:00:00,1.37
2012-02-01 08:30:00,1.371
2012-02-01 09:00:00,1.165
2012-02-01 09:30:00,0.976
2012-02-01 10:00:00,1.038
2012-02-01 10:30:00,0.967
2012-02-01 11:00:00,0.875
2012-02-01 11:30:00,0.8
2012-02-01 12:00:00,0.788
2012-02-01 12:30:00,0.821
2012-02-01 13:00:00,0.803
2012-02-01 13:30:00,0.743
2012-02-01 14:00:00,0.719
2012-02-01 14:30:00,0.715
2012-02-01 15:00:00,1.301
2012-02-01 15:30:00,0.816
2012-02-01 16:00:00,0.812
2012-02-01 16:30:00,0.916
2012-02-01 17:00:00,0.93
2012-02-01 17:30:00,0.93
2012-02-01 18:00:00,1.361
2012-02-01 18:30:00,1.497
2012-02-01 19:00:00,1.064
2012-02-01 19:30:00,2.563
2012-02-01 20:00:00,1.267
2012-02-01 20:30:00,0.796
2012-02-01 21:00:00,0.773
2012-02-01 21:30:00,0.872
2012-02-01 22:00:00,0.779
2012-02-01 22:30:00,0.757
2012-02-01 23:00:00,0.729
2012-02-01 23:30:00,0.627
2012-02-02 00:00:00,0.615
2012-02-02 00:30:00,0.596
2012-02-02 01:00:00,0.578
2012-02-02 01:30:00,0.592
2012-02-02 02:00:00,0.633
2012-02-02 02:30:00,0.612
2012-02-02 03:00:00,0.626
2012-02-02 03:30:00,0.62
2012-02-02 04:00:00,0.614
2012-02-02 04:30:00,0.606
2012-02-02 05:00:00,0.624
