timestamp,consumption_kwh
2012-02-01 00:00:00,1.251
2012-02-01 00:30:00,1.461
2012-02-01 01:00:00,0.465
2012-02-01 01:30:00,0.782
2012-02-01 02:00:00,0.094
2012-02-01 02:30:00,0.132
2012-02-01 03:00:00,0.074
2012-02-01 03:30:00,0.108
2012-02-01 04:00:00,0.089
2012-02-01 04:30:00,0.092
2012-02-01 05:00:00,0.105
2012-02-01 05:30:00,0.074
2012-02-01 06:00:00,0.122
2012-02-01 06:30:00,0.426
2012-02-01 07:00:00,0.536
2012-02-01 07:30:00,0.626
2012-02-01 08:00:00,0.894
2012-02-01 08:30:00,0.377
2012-02-01 09:00:00,0.866
2012-02-01 09:30:00,0.589
2012-02-01 10:00:00,0.287
2012-02-01 10:30:00,0.124
2012-02-01 11:00:00,0.179
2012-02-01 11:30:00,0.214
2012-02-01 12:00:00,0.659
2012-02-01 12:30:00,0.692
2012-02-01 13:00:00,0.505
2012-02-01 13:30:00,0.368
2012-02-01 14:00:00,0.406
2012-02-01 14:30:00,0.607
2012-02-01 15:00:00,0.565
2012-02-01 15:30:00,0.891
2012-02-01 16:00:00,2.37
2012-02-01 16:30:00,1.779
2012-02-01 17:00:00,2.036
2012-02-01 17:30:00,1.848
2012-02-01 18:00:00,1.341
2012-02-01 18:30:00,1.004
2012-02-01 19:00:00,1.502
2012-02-01 19:30:00,1.435
2012-02-01 20:00:00,1.422
2012-02-01 20:30:00,1.131
2012-02-01 21:00:00,0.882
2012-02-01 21:30:00,0.929
2012-02-01 22:00:00,0.938
2012-02-01 22:30:00,0.895
2012-02-01 23:00:00,1.411
2012-02-01 23:30:00,1.315
2012-02-02 00:00:00,0.559
2012-02-02 00:30:00,0.168
2012-02-02 01:00:00,0.146
2012-02-02 01:30:00,0.183
2012-02-02 02:00:00,0.156
2012-02-02 02:30:00,0.091
2012-02-02 03:00:00,0.154
2012-02-02 03:30:00,0.092
2012-02-02 04:00:00,0.216
2012-02-02 04:30:00,0.107
2012-02-02 05:00:00,0.108
2012-02-02 05:30:00,0.126
2012-02-02 06:00:00,0.118
2012-02-02 06:30:00,0.523
2012-02-02 07:00:00,0.384
2012-02-02 07:30:00,0.553
2012-02-02 08:00:00,0.838
2012-02-02 08:30:00,0.531
2012-02-02 09:00:00,0.619
2012-02-02 09:30:00,1.254
2012-02-02 10:00:00,0.484
2012-02-02 10:30:00,0.118
2012-02-02 11:00:00,0.18
2012-02-02 11:30:00,0.145
2012-02-02 12:00:00,0.199
2012-02-02 12:30:00,0.292
2012-02-02 13:00:00,0.333
2012-02-02 13:30:00,0.221
2012-02-02 14:00:00,0.14
2012-02-02 14:30:00,0.097
2012-02-02 15:00:00,0.148
2012-02-02 15:30:00,0.343
2012-02-02 16:00:00,0.294
2012-02-02 16:30:00,0.806
2012-02-02 17:00:00,2.884
2012-02-02 17:30:00,2.648
2012-02-02 18:00:00,2.827
2012-02-02 18:30:00,2.576
2012-02-02 19:00:00,2.956
2012-02-02 19:30:00,2.802
2012-02-02 20:00:00,2.496
2012-02-02 20:30:00,2.607
2012-02-02 21:00:00,1.771
2012-02-02 21:30:00,1.758
2012-02-02 22:00:00,1.971
2012-02-02 22:30:00,1.927
2012-02-02 23:00:00,1.688
2012-02-02 23:30:00,1.299
2012-02-03 00:00:00,1.98
2012-02-03 00:30:00,0.569
2012-02-03 01:00:00,0.142
2012-02-03 01:30:00,0.866
2012-02-03 02:00:00,0.124
2012-02-03 02:30:00,0.165
2012-02-03 03:00:00,0.109
2012-02-03 03:30:00,0.16
2012-02-03 04:00:00,0.111
2012-02-03 04:30:00,0.207
2012-02-03 05:00:00,0.181
2012-02-03 05:30:00,0.228
2012-02-03 06:00:00,0.183
2012-02-03 06:30:00,0.497
2012-02-03 07:00:00,0.52
2012-02-03 07:30:00,0.313
2012-02-03 08:00:00,0.792
2012-02-03 08:30:00,0.718
2012-02-03 09:00:00,0.536
2012-02-03 09:30:00,0.846
2012-02-03 10:00:00,0.336
2012-02-03 10:30:00,0.314
2012-02-03 11:00:00,0.356
2012-02-03 11:30:00,0.309
2012-02-03 12:00:00,0.359
2012-02-03 12:30:00,0.308
2012-02-03 13:00:00,0.349
2012-02-03 13:30:00,0.398
2012-02-03 14:00:00,0.356
2012-02-03 14:30:00,1.301
2012-02-03 15:00:00,1.289
2012-02-03 15:30:00,1.341
2012-02-03 16:00:00,1.346
2012-02-03 16:30:00,1.923
2012-02-03 17:00:00,1.403
2012-02-03 17:30:00,0.968
2012-02-03 18:00:00,0.801
2012-02-03 18:30:00,0.771
2012-02-03 19:00:00,0.812
2012-02-03 19:30:00,0.741
2012-02-03 20:00:00,0.77
2012-02-03 20:30:00,0.806
2012-02-03 21:00:00,2.068
2012-02-03 21:30:00,1.198
2012-02-03 22:00:00,0.944
2012-02-03 22:30:00,1.184
2012-02-03 23:00:00,1.016
2012-02-03 23:30:00,1.061
2012-02-04 00:00:00,1.213
2012-02-04 00:30:00,0.903
2012-02-04 01:00:00,0.491
2012-02-04 01:30:00,0.158
2012-02-04 02:00:00,0.145
2012-02-04 02:30:00,0.181
2012-02-04 03:00:00,0.13
2012-02-04 03:30:00,0.173
2012-02-04 04:00:00,0.126
2012-02-04 04:30:00,0.177
2012-02-04 05:00:00,0.128
2012-02-04 05:30:00,0.177
2012-02-04 06:00:00,0.125
2012-02-04 06:30:00,0.241
2012-02-04 07:00:00,0.178
2012-02-04 07:30:00,0.269
2012-02-04 08:00:00,1.086
2012-02-04 08:30:00,0.751
2012-02-04 09:00:00,0.347
