value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
0.767,0.0,0.7736666666666667,0.0,0.767,0.7745000000000001,0.0,0.767,0.7688333333333334,0.0,0.767,0.873125,0.0,0.767,0,1
0.784,0.017000000000000015,0.7736666666666667,0.0,0.7755000000000001,0.7745000000000001,0.0,0.7718571428571429,0.7688333333333334,0.0,0.7696153846153846,0.873125,0.0,0.76836,1,0
0.77,-0.014000000000000012,0.7736666666666667,0.00907377172587746,0.77275,0.7745000000000001,0.0,0.7713265306122449,0.7688333333333334,0.0,0.7696745562130177,0.873125,0.0,0.7684912,1,0
0.781,0.01100000000000001,0.7783333333333333,0.0073711147958319245,0.776875,0.7745000000000001,0.0,0.7740903790087463,0.7688333333333334,0.0,0.7714169321802458,0.873125,0.0,0.769491904,1,0
0.755,-0.026000000000000023,0.7686666666666667,0.013051181300301277,0.7659374999999999,0.7745000000000001,0.0,0.7686359850062474,0.7688333333333334,0.0,0.7688912503063619,0.873125,0.0,0.76833255168,1,0
0.79,0.03500000000000003,0.7753333333333333,0.018175074506954145,0.77796875,0.7745000000000001,0.012880217389469796,0.7747399892901767,0.7688333333333334,0.0,0.7721387502592293,0.873125,0.0,0.7700659475456001,1,0
0.768,-0.02200000000000002,0.771,0.017691806012954153,0.7729843750000001,0.7746666666666667,0.012769755936064985,0.7728142780644119,0.7688333333333334,0.0,0.7715020194501171,0.873125,0.0,0.7699006717419522,0,1
0.726,-0.04200000000000004,0.7613333333333334,0.032516662395352544,0.7494921875,0.765,0.022521101216414874,0.7594387700460086,0.7688333333333334,0.0,0.7645017087654837,0.873125,0.0,0.7663886180025961,0,2
0.768,0.04200000000000004,0.754,0.024248711305964277,0.75874609375,0.7646666666666667,0.02244697455486307,0.7618848357471489,0.7688333333333334,0.0,0.7650399074169478,0.873125,0.0,0.7665175285623884,0,3
0.771,0.0030000000000000027,0.7549999999999999,0.02515949125081825,0.764873046875,0.763,0.021335416564951432,0.7644891683908207,0.7688333333333334,0.0,0.7659568447374174,0.873125,0.0,0.7668761262773973,0,4
0.767,-0.0040000000000000036,0.7686666666666667,0.002081665999466983,0.7659365234375,0.765,0.02099523755521722,0.7652065488505861,0.7688333333333334,0.0,0.7661173301624301,0.873125,0.0,0.7668860361752056,0,5
