value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
0.553,0.0,0.669,0.0,0.553,0.5708333333333333,0.0,0.553,0.34,0.0,0.553,0.36233333333333334,0.0,0.553,0,1
0.637,0.08399999999999996,0.669,0.0,0.595,0.5708333333333333,0.0,0.577,0.34,0.0,0.565923076923077,0.36233333333333334,0.0,0.5597200000000001,1,0
0.817,0.17999999999999994,0.669,0.13487772240069892,0.706,0.5708333333333333,0.0,0.6455714285714286,0.34,0.0,0.6045502958579883,0.36233333333333334,0.0,0.5803024000000001,1,0
0.74,-0.07699999999999996,0.7313333333333333,0.09031242070354087,0.723,0.5708333333333333,0.0,0.6725510204081633,0.34,0.0,0.6253887118798361,0.36233333333333334,0.0,0.5930782080000001,1,0
0.475,-0.265,0.6773333333333333,0.17940549972989503,0.599,0.5708333333333333,0.0,0.6161078717201166,0.34,0.0,0.602251986975246,0.36233333333333334,0.0,0.5836319513600001,1,0
0.203,-0.27199999999999996,0.4726666666666666,0.2685076038650179,0.401,0.5708333333333333,0.21835605479735767,0.4980770512286547,0.34,0.0,0.5408286043636698,0.36233333333333334,0.0,0.5531813952512001,0,1
0.102,-0.10100000000000002,0.26,0.19292226413765742,0.2515,0.4956666666666667,0.2911986721581447,0.38491217944903905,0.34,0.0,0.4733165113846436,0.36233333333333334,0.0,0.5170868836311041,0,2
0.182,0.08,0.16233333333333333,0.05329477773040619,0.21675,0.41983333333333334,0.3059054864932413,0.3269372710350279,0.34,0.0,0.4284985865562369,0.36233333333333334,0.0,0.49027993294061584,0,3
0.142,-0.04000000000000001,0.142,0.04000000000000083,0.179375,0.3073333333333333,0.24956094779966403,0.2740980507393056,0.34,0.0,0.3844218809322005,0.36233333333333334,0.0,0.4624175383053666,0,4
0.087,-0.05499999999999999,0.13699999999999998,0.04769696007084798,0.13318750000000001,0.1985,0.1426053996172654,0.2206414648137897,0.34,0.0,0.3386646684810927,0.36233333333333334,0.0,0.4323841352409373,0,5
0.047,-0.039999999999999994,0.09199999999999998,0.04769696007084799,0.09009375,0.12716666666666668,0.05941520568563758,0.17102961772413552,0.34,0.0,0.29379318102246305,0.36233333333333334,0.0,0.4015534044216623,0,6
0.095,0.048,0.07633333333333332,0.025716402029315893,0.092546875,0.10916666666666668,0.046884610125995686,0.14930686980295393,0.34,0.28425276843618663,0.2632096147113149,0.36233333333333334,0.0,0.3770291320679293,0,7
0.083,-0.011999999999999997,0.075,0.024979991993594984,0.0877734375,0.10599999999999998,0.04809157930448896,0.13036204985925282,0.30083333333333334,0.28461579632049855,0.23548505860188182,0.36233333333333334,0.0,0.35350680150249497,0,8
0.158,0.075,0.11199999999999999,0.0402864741569682,0.12288671875,0.102,0.0409780429010458,0.13825860704232346,0.2609166666666667,0.26617508193372313,0.22356428035543846,0.36233333333333334,0.0,0.33786625738229537,0,9
0.141,-0.017000000000000015,0.12733333333333333,0.03932344508475063,0.13194335937499999,0.10183333333333333,0.0407843924395916,0.13904186217308817,0.2045833333333333,0.20145175751544236,0.2108620833776787,0.36233333333333334,0.0,0.32211695679171176,0,10
0.177,0.036000000000000004,0.15866666666666665,0.018009256878988567,0.15447167968749997,0.11683333333333333,0.04979323916624242,0.1498870444093487,0.15766666666666668,0.1104069606940475,0.20565253208880505,0.36233333333333334,0.0,0.3105076002483748,0,11
0.289,0.11199999999999999,0.20233333333333334,0.077183763404834,0.22173583984374998,0.15716666666666665,0.0740281477997837,0.18963360314953476,0.14216666666666666,0.0658867255679062,0.21847521945975812,0.36233333333333334,0.0,0.3087869922285048,0,12
0.855,0.5660000000000001,0.4403333333333333,0.3634519683993105,0.5383679199218749,0.2838333333333333,0.28783357459939696,0.37973828796395337,0.19649999999999998,0.21674387901601527,0.3164021087736415,0.36233333333333334,0.0,0.35248403285022445,0,13
0.972,0.11699999999999999,0.7053333333333333,0.36527021960917283,0.7551839599609375,0.432,0.37835433128219903,0.5489559199742524,0.26899999999999996,0.30839054342299027,0.4172633228084659,0.36233333333333334,0.0,0.4020453102222065,0,14
0.583,-0.389,0.8033333333333333,0.19958039315857995,0.6690919799804687,0.5028333333333334,0.3559159544986241,0.5586827999816089,0.30241666666666667,0.3196274701851668,0.44276127314562497,0.36233333333333334,0.0,0.41652168540443,0,15
0.421,-0.16199999999999998,0.6586666666666666,0.2831860401455788,0.5450459899902343,0.5495,0.3149880950131291,0.5193448571297206,0.32566666666666666,0.31703465062508496,0.439413384969375,0.36233333333333334,0.0,0.4168799505720756,0,16
0.294,-0.127,0.4326666666666667,0.14485279884535693,0.41952299499511714,0.569,0.2899413733843448,0.45496061223551465,0.3429166666666667,0.30838154004807783,0.4170420949740865,0.36233333333333334,0.0,0.4070495545263096,0,17
0.457,0.16300000000000003,0.39066666666666666,0.08562904491662543,0.4382614974975586,0.597,0.26448818499131493,0.45554329445393904,0.3770833333333334,0.29503942982509157,0.4231894649780732,0.36233333333333334,0.0,0.41104559016420483,0,18
0.186,-0.271,0.3123333333333333,0.1364270256706254,0.31213074874877933,0.4855,0.27478482490850914,0.37853092460995647,0.38466666666666666,0.28822066462200713,0.3866987780583696,0.36233333333333334,0.2808797772630887,0.3930419429510685,0,19
0.558,0.37200000000000005,0.4003333333333334,0.19236510425057207,0.4350653743743897,0.4164999999999999,0.15332416639264668,0.4298078032928261,0.42425,0.2753546886207942,0.4130528122032358,0.3625416666666666,0.2810291612853613,0.40623858751498304,1,0
1.699,1.141,0.8143333333333334,0.788398587855999,1.067032687187195,0.6025,0.5526390322805655,0.7924341452091614,0.5526666666666666,0.44621954101975275,0.6108908410950457,0.40679166666666666,0.38899424150948075,0.5096595005137844,1,0
1.909,0.20999999999999996,1.3886666666666667,0.7270009170099672,1.4880163435935976,0.8504999999999999,0.752598897155716,1.1114529608636867,0.7000000000000001,0.5720708792702972,0.8105999424650386,0.4522916666666667,0.48985148407377044,0.6216067404726816,0,1
1.45,-0.4590000000000001,1.686,0.22977597785669357,1.4690081717967987,1.0431666666666668,0.7292476716909467,1.2081806863312048,0.8060833333333334,0.5841733021712795,0.9089691820858019,0.481875,0.5279408162235447,0.6878782012348671,0,2
0.92,-0.5299999999999999,1.4263333333333332,0.49492457337793716,1.1945040858983993,1.1203333333333334,0.6774749195849739,1.125843347379432,0.8586666666666667,0.5613510218187633,0.9106662309956786,0.5004166666666666,0.5354498244399317,0.7064479451360778,0,3
0.61,-0.31000000000000005,0.9933333333333335,0.42477444995354086,0.9022520429491996,1.191,0.5748669411263795,0.9784595338424514,0.83825,0.5659331995594854,0.8644098877655741,0.517375,0.5320550651871518,0.6987321095251915,0,4
0.725,0.11499999999999999,0.7516666666666666,0.15671098663888644,0.8136260214745998,1.2188333333333332,0.5411430186805212,0.9060425241731795,0.8176666666666668,0.5651175796131976,0.8429622127247166,0.5433333333333333,0.5260723761304487,0.7008335407631763,0,5
1.516,0.791,0.9503333333333334,0.4932446992450434,1.1648130107373,1.1883333333333332,0.5130975215947422,1.0803160886951282,0.8954166666666667,0.593372251447503,0.9465064876901448,0.5989166666666667,0.5558647721591433,0.7660468575021222,0,6
1.503,-0.013000000000000123,1.248,0.45297792440691853,1.3339065053686499,1.1206666666666667,0.41677987795317906,1.20108292049652,0.9855833333333334,0.5969256780802072,1.0321208741993533,0.655625,0.5762730189687041,0.8250031089019525,0,7
1.457,-0.04599999999999982,1.492,0.031000000000002775,1.3954532526843249,1.1218333333333332,0.41789444440751644,1.274202086068943,1.0825,0.5681513082717571,1.0974868935532989,0.7127083333333334,0.5852813131987986,0.8755628601897963,0,8
1.143,-0.31400000000000006,1.3676666666666666,0.1959217530886588,1.2692266263421623,1.159,0.40610392758504593,1.2367157757635308,1.1396666666666666,0.5329121253390032,1.1044889099297144,0.7583749999999999,0.5737246584343855,0.8969578313746126,0,9
1.476,0.33299999999999996,1.3586666666666665,0.18701425970586677,1.3726133131710812,1.3033333333333332,0.3158155579870424,1.3050826969739506,1.2471666666666665,0.4460853634845596,1.1616444622482198,0.8159166666666667,0.5735523869531973,0.9432812048646436,0,10
