value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
0.527,0.0,0.5663333333333334,0.0,0.527,0.42483333333333334,0.0,0.527,0.2773333333333334,0.0,0.527,0.3810833333333334,0.0,0.527,0,1
0.519,-0.008000000000000007,0.5663333333333334,0.0,0.523,0.42483333333333334,0.0,0.5247142857142857,0.2773333333333334,0.0,0.5257692307692308,0.3810833333333334,0.0,0.52636,1,0
0.653,0.134,0.5663333333333334,0.07516204716034107,0.5880000000000001,0.42483333333333334,0.0,0.5613673469387754,0.2773333333333334,0.0,0.5453431952662722,0.3810833333333334,0.0,0.5364912000000001,1,0
0.529,-0.124,0.5670000000000001,0.07464583042608611,0.5585,0.42483333333333334,0.0,0.5521195335276967,0.2773333333333334,0.0,0.5428288575329996,0.3810833333333334,0.0,0.5358919040000001,1,0
0.148,-0.381,0.44333333333333336,0.2631735802342882,0.35325,0.42483333333333334,0.0,0.4366568096626405,0.2773333333333334,0.0,0.4820859563740766,0.3810833333333334,0.0,0.5048605516800001,1,0
0.173,0.024999999999999994,0.2833333333333333,0.21312046671620571,0.263125,0.42483333333333334,0.2108425162690549,0.3613262926161718,0.2773333333333334,0.0,0.4345342707780648,0.3810833333333334,0.0,0.47831170754560015,0,1
0.158,-0.014999999999999986,0.15966666666666665,0.012583057392118058,0.21056249999999999,0.3633333333333333,0.2281847204934342,0.3032330661544084,0.2773333333333334,0.0,0.39199053681220863,0.3810833333333334,0.0,0.45268677094195214,0,2
0.286,0.12799999999999997,0.20566666666666666,0.06997380462239663,0.24828124999999998,0.3245,0.21588955509704497,0.29830933296743456,0.2773333333333334,0.0,0.37568430037956113,0.3810833333333334,0.0,0.439351829266596,0,3
0.098,-0.18799999999999997,0.18066666666666667,0.09602777376016448,0.173140625,0.23199999999999998,0.15817332265587652,0.24107809497673896,0.2773333333333334,0.0,0.3329636387827056,0.3810833333333334,0.0,0.41204368292526833,0,4
0.033,-0.065,0.13899999999999998,0.13138873619911257,0.1030703125,0.14933333333333332,0.08424171571535502,0.18162721069767068,0.2773333333333334,0.0,0.28681538666228934,0.3810833333333334,0.0,0.3817201882912469,0,5
0.171,0.138,0.10066666666666668,0.06903863652574062,0.13703515625,0.15316666666666665,0.08469100699995656,0.17859086478405048,0.2773333333333334,0.0,0.268997634868091,0.3810833333333334,0.0,0.3648625732279472,0,6
0.033,-0.138,0.079,0.0796743371481683,0.085017578125,0.12983333333333333,0.09658450531356826,0.13699347484575033,0.2773333333333334,0.21950163939472006,0.2326903064268462,0.3810833333333334,0.0,0.3383135673697114,0,7
0.033,0.0,0.079,0.0796743371481683,0.059008789062500004,0.109,0.10258849838066658,0.10728105346125023,0.23616666666666666,0.21469209806068085,0.20196872082271602,0.3810833333333334,0.0,0.31388848198013447,0,8
0.144,0.11099999999999999,0.06999999999999999,0.06408587988004837,0.10150439453125,0.08533333333333333,0.06189884220780468,0.11777218104375017,0.20491666666666666,0.19628386602216213,0.1930504560807597,0.3810833333333334,0.0,0.3002974034217237,0,9
0.081,-0.06299999999999999,0.08600000000000001,0.055668662638867036,0.091252197265625,0.0825,0.061591395502943715,0.1072658436026787,0.15725,0.13853527611143943,0.17581192437602747,0.3810833333333334,0.0,0.28275361114798575,0,10
0.123,0.041999999999999996,0.11599999999999999,0.0320780298646908,0.1071260986328125,0.09749999999999999,0.05797844427026336,0.11176131685905621,0.12341666666666667,0.07407055399885305,0.1676870129335617,0.3810833333333334,0.0,0.2699733222561469,0,11
0.808,0.685,0.3373333333333333,0.4081498907672687,0.4575630493164063,0.20366666666666666,0.2995287409693212,0.3106866548993259,0.17841666666666667,0.21150992168145924,0.2661967032514753,0.3810833333333334,0.0,0.31301545647565515,1,0
0.584,-0.2240000000000001,0.505,0.3492663739898247,0.5207815246582032,0.29550000000000004,0.3204726197352904,0.38877618207094705,0.21266666666666667,0.24167834872496188,0.3150895181358637,0.3810833333333334,0.0,0.33469421995760273,0,1
